,person_ctry_code,year,total,B60L,H01M,F03D,H01L,RTA_B60L,RTA_H01M,RTA_F03D,RTA_H01L
35,CN,1999,157834.624819,91.5095238095,545.207215007,93.0,570.308823973,0.235786616081,0.156688070067,0.145980187235,0.0352044408521
36,CN,2002,283609.339672,317.316666667,1401.52196877,185.463888889,3186.17153636,0.455016862289,0.224158906922,0.162013827959,0.109455670777
37,CN,2005,487233.55098,519.231715969,3216.34227101,504.236507937,7278.62265395,0.433390275868,0.299434399601,0.256395471452,0.145546464556
38,CN,2008,743974.567929,828.858964646,4788.29906787,1462.70730159,9225.52322112,0.4530829147,0.29194416335,0.487093786377,0.120815472978
39,CN,2011,133643.880805,105.786259019,1209.03984597,405.634507576,3386.01413569,0.321910629505,0.410362960998,0.751967490417,0.246847839478
40,CY,1999,185.078899287,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0526420428061
41,CY,2002,365.264033189,0.0,0.766666666667,0.0,0.233333333333,0.0,0.0952086243712,0.0,0.00622385572942
42,CY,2005,435.5,0.75,0.0,1.5,7.85509259259,0.70037113781,0.0,0.853328694613,0.175732784821
43,CY,2008,492.912301587,0.0,1.25,9.16666666667,6.58174603175,0.0,0.115031550922,4.60739060295,0.130095149726
44,CY,2011,353.542135642,0.0,0.241666666667,6.875,5.0875,0.0,0.0310064603019,4.8177556735,0.140201572002
45,CZ,1999,6403.02877678,2.0,1.7,14.0833333333,30.3108724609,0.127028063811,0.0120431497586,0.544920636161,0.0461214152708
46,CZ,2002,6094.08095516,2.0,5.31600129038,6.75,7.08145604396,0.133467926342,0.0395688544872,0.274415604514,0.0113215004071
47,CZ,2005,6656.398557,9.64444444444,12.0093864469,12.25,11.2950841751,0.589241103926,0.0818385868365,0.455942442017,0.0165325481401
48,CZ,2008,7150.71386664,4.47261904762,16.8548280423,20.1547619048,40.1347342472,0.254371028093,0.106918176947,0.698299163591,0.0546840451685
49,CZ,2011,8568.9592733,9.26746031746,28.256031746,11.6761904762,47.1067460317,0.439832981971,0.149575240671,0.337587488347,0.053560505721
50,DE,1999,425490.196979,424.619120596,1653.80646758,387.871536797,5827.95901134,0.405849601991,0.176307889416,0.225845583556,0.133449383548
51,DE,2002,475941.114392,439.223742459,2979.83593167,998.051255411,8713.8129928,0.375307913234,0.283998305453,0.519532681347,0.178379381651
52,DE,2005,479993.858856,433.843466901,2571.5451291,1162.17180736,9540.6273154,0.367580545145,0.243016123322,0.599857240002,0.193655971108
53,DE,2008,463281.101646,543.353218922,3116.75610849,1317.06449759,10052.8528255,0.476971902259,0.305165092644,0.704329224164,0.211414310858
54,DE,2011,382050.79874,1216.61821452,4273.04663786,2133.96973184,9673.30235649,1.29505537501,0.507333032417,1.3838225176,0.246685312501
55,DK,1999,18097.3962607,2.41666666667,63.3968142968,89.6687229437,24.9138657639,0.0543069975222,0.158901485926,1.22754702708,0.0134126522967
56,DK,2002,19897.211469,0.5,69.3404401154,169.595634921,44.7897593148,0.0102195771165,0.158077841586,2.11171694333,0.0219318948469
57,DK,2005,20517.4325398,1.66666666667,89.4719516595,303.129401154,54.7952290765,0.0330354990594,0.197806480502,3.66031361642,0.0260201247671
58,DK,2008,19468.574076,1.96428571429,219.018441558,571.435237818,81.4683139083,0.0410322801027,0.510297169761,7.27187029467,0.040770329948
59,DK,2011,15936.8354764,5.06944444444,116.082056832,1088.13744468,68.1716666667,0.129363993924,0.330399685016,16.915892486,0.0416765215758
60,EE,1999,230.786507937,0.333333333333,0.0,0.0,2.87777777778,0.58738583068,0.0,0.0,0.121488866693
61,EE,2002,353.108596959,1.83333333333,0.819834710744,1.0,0.0,2.11148635895,0.105316066431,0.701624844226,0.0
62,EE,2005,405.180067155,0.5,1.0,1.0,7.21909090909,0.501853628779,0.111951146892,0.611455953585,0.173589751217
63,EE,2008,681.997977853,1.0,9.33333333333,2.66666666667,11.4929951691,0.596309941126,0.620769411489,0.968721403411,0.164187382434
64,EE,2011,878.565610235,0.0,1.7297979798,7.83333333333,2.81666666667,0.0,0.089309530259,2.20894884194,0.0312356750797
